FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,VTD,VTDI,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Voting District,Voting District Indicator,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
PLST,MA,710,7100000US2502500130407000,2.50E+15,1,1,25,25,7000,1304,A,1881,129,820,615,36,6,1,100,174,1421,117,622,432,23,6,1,87,133
PLST,MA,710,7100000US2502500130507000,2.50E+15,1,1,25,25,7000,1305,A,1708,290,570,402,39,3,0,181,223,1341,269,419,289,33,2,0,162,167
PLST,MA,710,7100000US2502500130607000,2.50E+15,1,1,25,25,7000,1306,A,2097,672,410,519,146,0,1,87,262,1657,629,291,340,119,0,1,79,198
PLST,MA,710,7100000US2502500130707000,2.50E+15,1,1,25,25,7000,1307,A,2200,1207,134,199,535,5,1,40,79,2014,1152,123,169,466,3,1,40,60
PLST,MA,710,7100000US2502500130807000,2.50E+15,1,1,25,25,7000,1308,A,2015,1078,193,172,449,5,0,38,80,1779,992,149,148,381,5,0,34,70
PLST,MA,710,7100000US2502500130907000,2.50E+15,1,1,25,25,7000,1309,A,1981,811,228,240,438,2,0,78,184,1683,763,188,164,367,2,0,64,135
PLST,MA,710,7100000US2502500131007000,2.50E+15,1,1,25,25,7000,1310,A,2422,1684,120,171,310,1,0,18,118,2123,1530,96,141,241,1,0,18,96
PLST,MA,710,7100000US2502500140107000,2.50E+15,1,1,25,25,7000,1401,A,4953,131,2281,1983,69,7,1,116,365,3444,87,1618,1333,59,5,1,83,258
PLST,MA,710,7100000US2502500140207000,2.50E+15,1,1,25,25,7000,1402,A,4628,164,2703,1191,53,15,0,88,414,3310,121,2005,803,34,7,0,54,286
PLST,MA,710,7100000US2502500140307000,2.50E+15,1,1,25,25,7000,1403,A,2212,27,1069,926,47,17,0,34,92,1620,13,815,654,37,15,0,17,69
PLST,MA,710,7100000US2502500140407000,2.50E+15,1,1,25,25,7000,1404,A,2677,130,1391,766,52,9,0,80,249,1948,111,1047,510,37,5,0,56,182
PLST,MA,710,7100000US2502500140507000,2.50E+15,1,1,25,25,7000,1405,A,2157,24,1597,410,14,7,0,9,96,1478,21,1148,210,12,7,0,6,74
PLST,MA,710,7100000US2502500140607000,2.50E+15,1,1,25,25,7000,1406,A,2038,56,1182,583,22,16,0,55,124,1485,51,900,369,21,7,0,38,99
PLST,MA,710,7100000US2502500140707000,2.50E+15,1,1,25,25,7000,1407,A,2132,69,1118,730,37,17,0,21,140,1485,48,847,447,27,9,0,18,89
PLST,MA,710,7100000US2502500140807000,2.50E+15,1,1,25,25,7000,1408,A,1828,105,1250,348,21,3,1,14,86,1442,98,1003,245,20,1,1,12,62
PLST,MA,710,7100000US2502500140907000,2.50E+15,1,1,25,25,7000,1409,A,2428,45,993,1217,15,5,0,41,112,1717,31,764,797,12,5,0,25,83
PLST,MA,710,7100000US2502500141007000,2.50E+15,1,1,25,25,7000,1410,A,2255,39,1205,818,20,1,0,58,114,1555,31,836,537,16,0,0,42,93
PLST,MA,710,7100000US2502500141107000,2.50E+15,1,1,25,25,7000,1411,A,2417,86,1455,684,31,15,0,39,107,1678,73,1037,434,22,11,0,26,75
PLST,MA,710,7100000US2502500141207000,2.50E+15,1,1,25,25,7000,1412,A,1309,32,826,305,19,4,0,25,98,991,27,645,215,11,4,0,19,70
PLST,MA,710,7100000US2502500141307000,2.50E+15,1,1,25,25,7000,1413,A,1765,23,1164,392,22,3,0,44,117,1273,20,882,249,19,1,0,25,77
PLST,MA,710,7100000US2502500141407000,2.50E+15,1,1,25,25,7000,1414,A,2186,41,1517,485,1,6,1,20,115,1604,23,1191,285,0,5,1,16,83
PLST,MA,710,7100000US2502500150107000,2.50E+15,1,1,25,25,7000,1501,A,2737,120,974,975,65,6,2,190,405,2053,100,794,660,53,5,2,142,297
PLST,MA,710,7100000US2502500150207000,2.50E+15,1,1,25,25,7000,1502,A,2036,97,890,474,84,8,0,118,365,1517,85,694,306,58,6,0,91,277
PLST,MA,710,7100000US2502500150307000,2.50E+15,1,1,25,25,7000,1503,A,1307,133,495,292,54,4,0,94,235,995,129,374,185,50,3,0,69,185
PLST,MA,710,7100000US2502500150407000,2.50E+15,1,1,25,25,7000,1504,A,3656,389,958,719,664,6,0,298,622,2821,338,766,499,517,5,0,235,461
PLST,MA,710,7100000US2502500150507000,2.50E+15,1,1,25,25,7000,1505,A,2439,120,1042,658,140,12,0,124,343,1791,91,755,451,113,10,0,99,272
PLST,MA,710,7100000US2502500150607000,2.50E+15,1,1,25,25,7000,1506,A,1485,350,130,226,672,2,0,20,85,1208,329,109,160,537,2,0,8,63
